code,system
96169990,readv2
86129998,readv2
95714990,readv2
98106979,readv2
92969998,readv2
92181990,readv2
95724990,readv2
87294998,readv2
99620989,readv2
98567988,readv2
94616990,readv2
94758990,readv2
95113998,readv2
97733990,readv2
95043990,readv2
90533996,readv2
84041998,readv2
94993990,readv2
92754998,readv2
87428998,readv2
89020998,readv2
89058996,readv2
83605998,readv2
94958992,readv2
97122990,readv2
84176998,readv2
99079998,readv2
94753998,readv2
94869997,readv2
87153998,readv2
90445997,readv2
99660998,readv2
87064998,readv2
94395998,readv2
93600996,readv2
92341998,readv2
97214998,readv2
82751998,readv2
95127990,readv2
94753997,readv2
92516998,readv2
91270998,readv2
94509990,readv2
91011998,readv2
92202998,readv2
98877997,readv2
99013998,readv2
96902990,readv2
95540992,readv2
85791998,readv2
96876990,readv2
83610998,readv2
92762998,readv2
95422992,readv2
97382997,readv2
92885990,readv2
91358997,readv2
96690990,readv2
83606998,readv2
94740997,readv2
93459997,readv2
97832988,readv2
86989998,readv2
99334989,readv2
87427998,readv2
98567989,readv2
85792998,readv2
92753997,readv2
90613996,readv2
83607998,readv2
99095998,readv2
99509989,readv2
88433998,readv2
90432996,readv2
91958998,readv2
95460990,readv2
87969998,readv2
91565997,readv2
96678990,readv2
98624979,readv2
94541998,readv2
94825998,readv2
52839979,readv2
94774997,readv2
88506997,readv2
93331990,readv2
95649990,readv2
90432998,readv2
99334988,readv2
88328998,readv2
94395996,readv2
96631998,readv2
90503996,readv2
95699990,readv2
94520996,readv2
89768998,readv2
85414998,readv2
95149990,readv2
94542996,readv2
88506996,readv2
99918997,readv2
88508998,readv2
94361990,readv2
94775996,readv2
94749996,readv2
95628996,readv2
88491998,readv2
82895998,readv2
87812998,readv2
94766996,readv2
92762997,readv2
86093998,readv2
96632998,readv2
96633998,readv2
99162998,readv2
97939989,readv2
83617998,readv2
61229979,readv2
92042998,readv2
88541998,readv2
92824996,readv2
97382998,readv2
95959997,readv2
93459996,readv2
94055998,readv2
87212998,readv2
91168998,readv2
87702998,readv2
95998990,readv2
90781998,readv2
90433998,readv2
97139989,readv2
83614998,readv2
94982990,readv2
98985997,readv2
98471998,readv2
94749998,readv2
89087996,readv2
93567998,readv2
99384997,readv2
89513998,readv2
87261998,readv2
83599998,readv2
96687988,readv2
90722998,readv2
92094998,readv2
94753996,readv2
94992990,readv2
88083998,readv2
90445998,readv2
87903998,readv2
93329990,readv2
95418998,readv2
94396996,readv2
92968998,readv2
82913998,readv2
95730998,readv2
98118979,readv2
85395998,readv2
97904990,readv2
91085998,readv2
87213998,readv2
91444998,readv2
84432998,readv2
92517997,readv2
99721988,readv2
95958998,readv2
97382996,readv2
88507998,readv2
95465990,readv2
94751997,readv2
98567990,readv2
97741992,readv2
93014996,readv2
94669998,readv2
93919990,readv2
95011990,readv2
91872998,readv2
98367989,readv2
88955998,readv2
99569990,readv2
95276992,readv2
92753996,readv2
99328998,readv2
99724989,readv2
88461998,readv2
86990998,readv2
81764998,readv2
95100990,readv2
96822990,readv2
82894998,readv2
92826998,readv2
97733998,readv2
94949990,readv2
93597997,readv2
95545998,readv2
94876990,readv2
98888997,readv2
89513996,readv2
97831989,readv2
87654998,readv2
95059990,readv2
94341990,readv2
94833990,readv2
94889997,readv2
95682990,readv2
96368998,readv2
91145998,readv2
84429998,readv2
95963990,readv2
99850997,readv2
93524998,readv2
81453998,readv2
99526997,readv2
83832998,readv2
81965998,readv2
96857992,readv2
99102998,readv2
90706998,readv2
84168998,readv2
88837998,readv2
99850998,readv2
99678997,readv2
88714998,readv2
98058990,readv2
95717990,readv2
95685990,readv2
99162997,readv2
96668988,readv2
97039990,readv2
89145998,readv2
90629997,readv2
88319998,readv2
93392990,readv2
89519998,readv2
95700990,readv2
95150990,readv2
94924992,readv2
93599998,readv2
87446998,readv2
96632997,readv2
95635990,readv2
95133990,readv2
89522997,readv2
95922990,readv2
97981979,readv2
88349998,readv2
98216996,readv2
96832989,readv2
88958997,readv2
87371998,readv2
92849998,readv2
98128979,readv2
94732998,readv2
94218998,readv2
94145998,readv2
90504998,readv2
97958979,readv2
78352978,readv2
97267998,readv2
97204998,readv2
89069998,readv2
93400990,readv2
91780997,readv2
86039998,readv2
84924998,readv2
96456998,readv2
87992998,readv2
91571996,readv2
98734979,readv2
95146990,readv2
94995990,readv2
89514996,readv2
93598998,readv2
98877998,readv2
97895989,readv2
88234998,readv2
81777998,readv2
98115979,readv2
83435998,readv2
95145990,readv2
94541997,readv2
95787990,readv2
82912998,readv2
94774996,readv2
93144998,readv2
86124998,readv2
94739998,readv2
99660997,readv2
93598997,readv2
89061998,readv2
94717990,readv2
81717998,readv2
93772998,readv2
87572998,readv2
99783997,readv2
98348990,readv2
94050992,readv2
83448998,readv2
82915998,readv2
93524997,readv2
91796998,readv2
89652998,readv2
83616998,readv2
96904990,readv2
97139990,readv2
92527997,readv2
92990998,readv2
83059998,readv2
98985998,readv2
96368996,readv2
87426998,readv2
87904998,readv2
99336989,readv2
95102990,readv2
89087997,readv2
95419998,readv2
89522996,readv2
99568990,readv2
89431998,readv2
98169997,readv2
98367990,readv2
99192998,readv2
87511998,readv2
97793989,readv2
89057997,readv2
92881997,readv2
86108998,readv2
91958997,readv2
96684990,readv2
93710998,readv2
84430998,readv2
86583998,readv2
98562979,readv2
88506998,readv2
99384998,readv2
94726998,readv2
86031998,readv2
82426998,readv2
93249992,readv2
82733998,readv2
99620990,readv2
87992997,readv2
84568998,readv2
94603996,readv2
99013997,readv2
97649998,readv2
97764988,readv2
85900998,readv2
90613997,readv2
90576997,readv2
99944996,readv2
83623998,readv2
83626998,readv2
86350998,readv2
88319996,readv2
58688979,readv2
97821998,readv2
96795998,readv2
85416998,readv2
90722997,readv2
84039998,readv2
89519996,readv2
96832988,readv2
90294998,readv2
94275992,readv2
86137998,readv2
94860998,readv2
89424998,readv2
93013992,readv2
96900990,readv2
93568997,readv2
89305998,readv2
94396998,readv2
92887997,readv2
91168997,readv2
86348998,readv2
98422979,readv2
97272998,readv2
84313998,readv2
95959998,readv2
96640990,readv2
96904988,readv2
89102997,readv2
96796998,readv2
85018998,readv2
95209990,readv2
92960990,readv2
94891996,readv2
98049979,readv2
92849996,readv2
90629996,readv2
98459989,readv2
98290997,readv2
95631996,readv2
90533997,readv2
96214998,readv2
93523997,readv2
97251998,readv2
95147990,readv2
86138998,readv2
98290998,readv2
89024998,readv2
96098992,readv2
84790998,readv2
95542998,readv2
97955979,readv2
83724998,readv2
95134990,readv2
97116989,readv2
90816998,readv2
95940990,readv2
83449998,readv2
96870990,readv2
85219998,readv2
88837997,readv2
99721989,readv2
99334990,readv2
96686990,readv2
94891998,readv2
93397992,readv2
85850998,readv2
94859990,readv2
87888998,readv2
99944997,readv2
94553998,readv2
97204997,readv2
99996998,readv2
84444998,readv2
90559998,readv2
98216997,readv2
94750998,readv2
88481998,readv2
99678998,readv2
90181998,readv2
92824998,readv2
85527978,readv2
82911998,readv2
97060998,readv2
94890998,readv2
81611998,readv2
85460998,readv2
98471997,readv2
89058997,readv2
95723990,readv2
98047979,readv2
98276998,readv2
92588998,readv2
52855979,readv2
96665989,readv2
94756990,readv2
99458998,readv2
84431998,readv2
98877996,readv2
92354998,readv2
91873998,readv2
98488990,readv2
93535998,readv2
88945997,readv2
84189998,readv2
86929998,readv2
95701990,readv2
85046998,readv2
99569989,readv2
90609997,readv2
92882998,readv2
92627996,readv2
88349996,readv2
93597998,readv2
92527996,readv2
91571998,readv2
94889996,readv2
98097979,readv2
86090998,readv2
88996979,readv2
88234997,readv2
94548990,readv2
96832990,readv2
93567996,readv2
93137997,readv2
87653998,readv2
90740998,readv2
94826997,readv2
97635998,readv2
89190998,readv2
92517998,readv2
90939998,readv2
96661988,readv2
95958997,readv2
95325997,readv2
88481997,readv2
94888998,readv2
99975996,readv2
84169998,readv2
90210998,readv2
93251997,readv2
94668998,readv2
91867998,readv2
84649998,readv2
87447998,readv2
81787998,readv2
90549998,readv2
